Postal Area (POA),Sex Male/Female (SEXP),Non-Indigenous,Aboriginal,Torres Strait Islander,Both Aboriginal and Torres Strait Islander,Not stated,Total
4000,Male,5095,42,7,0,1635,6779
,Female,4354,21,8,0,1263,5652
4005,Male,4628,46,9,0,938,5624
,Female,4825,36,5,0,750,5623
4006,Male,5846,81,7,4,1083,7024
,Female,5418,37,17,3,782,6258
4007,Male,4071,24,4,0,501,4596
,Female,4604,17,4,4,469,5096
4008,Male,164,3,0,0,26,191
,Female,130,0,3,0,17,148
4009,Male,0,0,0,0,0,0
,Female,0,0,0,0,0,0
4010,Male,836,10,0,0,104,949
,Female,913,7,0,3,61,987
4011,Male,5923,41,5,0,487,6463
,Female,6659,62,4,9,460,7191
4012,Male,7623,104,11,4,396,8141
,Female,8401,100,5,4,392,8904
4013,Male,1736,31,4,3,118,1893
,Female,1782,34,0,3,129,1949
4014,Male,4178,119,14,9,161,4487
,Female,4407,118,18,9,140,4690
4017,Male,15135,273,22,23,921,16369
,Female,15830,311,23,15,1011,17199
4018,Male,3290,34,3,0,132,3460
,Female,3996,58,0,0,140,4191
4019,Male,8176,199,14,16,481,8887
,Female,8563,188,9,8,423,9189
4020,Male,8276,138,12,4,491,8922
,Female,9219,145,11,6,509,9894
4021,Male,4201,84,3,0,189,4477
,Female,4573,81,4,4,226,4888
4022,Male,2156,33,4,0,61,2251
,Female,2538,44,0,0,85,2665
4025,Male,122,0,0,0,41,163
,Female,66,0,0,0,18,87
4030,Male,6461,95,11,8,454,7030
,Female,6743,104,13,5,438,7293
4031,Male,5384,74,11,4,249,5724
,Female,5672,107,12,3,205,6001
4032,Male,5358,83,4,7,261,5709
,Female,6232,96,13,9,249,6587
4034,Male,17315,303,34,16,938,18611
,Female,18685,293,44,19,976,20017
4035,Male,10955,54,11,4,371,11392
,Female,11454,56,6,0,400,11915
4036,Male,2707,56,0,7,131,2903
,Female,2778,51,0,3,117,2948
4037,Male,3474,25,4,3,92,3598
,Female,3560,14,8,3,101,3679
4051,Male,10625,118,8,0,667,11424
,Female,11231,104,4,3,555,11892
4053,Male,17462,189,39,24,1012,18719
,Female,18994,280,37,14,1015,20335
4054,Male,6177,121,7,4,194,6503
,Female,6831,137,20,0,283,7265
4055,Male,8894,85,11,0,186,9184
,Female,9077,79,6,7,166,9334
4059,Male,4223,34,6,0,417,4676
,Female,4582,36,4,3,350,4979
4060,Male,5236,36,5,3,325,5604
,Female,5476,39,4,0,323,5845
4061,Male,7543,48,10,0,292,7887
,Female,8008,35,3,0,182,8228
4064,Male,4122,33,0,6,369,4524
,Female,4454,29,7,3,340,4827
4065,Male,4113,21,3,0,208,4348
,Female,4615,13,3,0,133,4766
4066,Male,6569,47,8,3,720,7351
,Female,6984,32,3,0,585,7605
4067,Male,3821,11,3,0,485,4323
,Female,4116,12,0,0,379,4509
4068,Male,9449,42,3,0,554,10045
,Female,10101,29,10,3,596,10735
4069,Male,15046,32,3,8,436,15517
,Female,15965,31,0,0,435,16435
4070,Male,4065,17,10,0,88,4176
,Female,4172,17,3,0,97,4283
4072,Male,878,0,0,0,9,889
,Female,883,0,0,0,8,894
4073,Male,3894,12,3,0,142,4057
,Female,4369,26,3,0,190,4590
4074,Male,10923,39,8,6,468,11440
,Female,11442,56,3,4,449,11950
4075,Male,9011,55,3,14,351,9441
,Female,9878,50,8,8,305,10253
4076,Male,3468,156,66,7,198,3897
,Female,2236,85,25,5,159,2503
4077,Male,9582,503,32,31,667,10814
,Female,10284,536,44,42,618,11522
4078,Male,9689,122,10,6,404,10241
,Female,10487,138,10,7,472,11120
4101,Male,6986,137,6,3,853,7980
,Female,7160,127,11,6,627,7939
4102,Male,2413,47,3,0,298,2759
,Female,2267,44,3,0,211,2526
4103,Male,5424,75,0,3,509,6014
,Female,5691,59,11,6,365,6132
4104,Male,2503,16,0,0,110,2633
,Female,2593,30,3,0,94,2723
4105,Male,4981,48,3,0,354,5386
,Female,5281,53,0,4,302,5636
4106,Male,948,11,0,0,157,1121
,Female,831,11,0,0,119,966
4107,Male,2519,31,0,3,245,2800
,Female,2504,40,5,3,163,2720
4108,Male,2058,34,8,3,275,2385
,Female,2040,35,6,4,202,2291
4109,Male,15768,121,8,15,948,16856
,Female,16228,125,7,3,799,17160
4110,Male,3429,159,10,20,280,3890
,Female,3418,188,14,17,250,3883
4111,Male,663,0,0,0,46,705
,Female,641,7,0,0,29,676
4112,Male,2917,29,0,0,131,3083
,Female,3184,31,0,3,110,3320
4113,Male,11671,105,27,12,492,12303
,Female,11980,99,18,6,428,12532
4114,Male,13361,589,76,55,1298,15381
,Female,13602,699,93,70,1299,15768
4115,Male,7829,64,9,4,311,8204
,Female,8102,65,8,6,273,8444
4116,Male,8101,35,0,3,384,8526
,Female,8361,36,0,0,402,8808
4117,Male,84,0,0,0,18,107
,Female,57,0,3,0,13,66
4118,Male,12563,215,22,13,573,13385
,Female,12716,246,17,8,560,13545
4119,Male,2088,26,3,0,139,2255
,Female,2112,30,0,4,118,2258
4120,Male,3598,49,7,0,263,3911
,Female,3899,51,4,0,215,4174
4121,Male,10325,99,17,12,386,10840
,Female,11106,131,22,12,333,11604
4122,Male,18032,190,30,30,834,19115
,Female,19610,207,49,29,862,20750
4123,Male,7463,66,9,3,371,7917
,Female,7702,84,11,0,386,8183
4124,Male,7137,136,16,6,520,7814
,Female,7455,117,10,9,443,8035
4125,Male,3279,24,3,0,116,3422
,Female,3171,42,0,0,92,3308
4127,Male,9878,139,10,9,437,10482
,Female,10206,145,14,13,387,10768
4128,Male,7486,47,3,8,317,7859
,Female,7532,38,5,0,347,7923
4129,Male,3403,41,3,5,238,3695
,Female,3451,51,7,4,184,3695
4130,Male,2886,14,0,0,129,3032
,Female,2814,21,0,0,97,2939
4131,Male,3601,143,17,8,323,4086
,Female,3801,173,17,5,255,4245
