,Postal Area (POA),Total,ATSI,Proportion ATSI
1,4000,5652,29,0.00513092710545
3,4005,5623,41,0.00729148141561
5,4006,6258,57,0.00910834132311
7,4007,5096,25,0.00490580847724
9,4008,148,3,0.0202702702703
11,4009,0,0,0.0
13,4010,987,10,0.0101317122594
15,4011,7191,75,0.0104297037964
17,4012,8904,109,0.0122416891285
19,4013,1949,37,0.0189840944074
21,4014,4690,145,0.0309168443497
23,4017,17199,349,0.0202918774347
25,4018,4191,58,0.0138391791935
27,4019,9189,205,0.0223092828382
29,4020,9894,162,0.0163735597332
31,4021,4888,89,0.0182078559738
33,4022,2665,44,0.0165103189493
35,4025,87,0,0.0
37,4030,7293,122,0.0167283696695
39,4031,6001,122,0.0203299450092
41,4032,6587,118,0.0179140731744
43,4034,20017,356,0.0177848828496
45,4035,11915,62,0.00520352496853
47,4036,2948,54,0.0183175033921
49,4037,3679,25,0.00679532481653
51,4051,11892,111,0.00933400605449
53,4053,20335,331,0.0162773543152
55,4054,7265,157,0.0216104611149
57,4055,9334,92,0.0098564388258
59,4059,4979,43,0.00863627234384
61,4060,5845,43,0.00735671514115
63,4061,8228,38,0.00461837627613
65,4064,4827,39,0.00807955251709
67,4065,4766,16,0.00335711288292
69,4066,7605,35,0.00460223537147
71,4067,4509,12,0.00266134397871
73,4068,10735,42,0.00391243595715
75,4069,16435,31,0.00188621843626
77,4070,4283,20,0.00466962409526
79,4072,894,0,0.0
81,4073,4590,29,0.00631808278867
83,4074,11950,63,0.0052719665272
85,4075,10253,66,0.00643714034917
87,4076,2503,115,0.0459448661606
89,4077,11522,622,0.0539836833883
91,4078,11120,155,0.0139388489209
93,4101,7939,144,0.0181383045724
95,4102,2526,47,0.0186064924782
97,4103,6132,76,0.0123939986954
99,4104,2723,33,0.012118986412
101,4105,5636,57,0.0101135557133
103,4106,966,11,0.0113871635611
105,4107,2720,48,0.0176470588235
107,4108,2291,45,0.0196420776953
109,4109,17160,135,0.00786713286713
111,4110,3883,219,0.0563996909606
113,4111,676,7,0.0103550295858
115,4112,3320,34,0.0102409638554
117,4113,12532,123,0.00981487392276
119,4114,15768,862,0.05466768138
121,4115,8444,79,0.00935575556608
123,4116,8808,36,0.00408719346049
125,4117,66,3,0.0454545454545
127,4118,13545,271,0.0200073827981
129,4119,2258,34,0.0150575730735
131,4120,4174,55,0.0131768088165
133,4121,11604,165,0.0142192347466
135,4122,20750,285,0.013734939759
137,4123,8183,95,0.0116094341928
139,4124,8035,136,0.0169259489732
141,4125,3308,42,0.0126964933495
143,4127,10768,172,0.0159732540862
145,4128,7923,43,0.00542723715764
147,4129,3695,62,0.0167794316644
149,4130,2939,21,0.00714528751276
151,4131,4245,195,0.0459363957597
153,4132,9576,365,0.0381161236424
155,4133,5281,119,0.0225336110585
157,4151,7153,82,0.0114637215154
