Postal Area (POA),QLD Major Cities of Australia,QLD Inner Regional Australia,QLD Outer Regional Australia,QLD Remote Australia,QLD Very Remote Australia,QLD Migratory,No Usual Address,Total
4000,12433,0,0,0,0,0,0,12433
4005,11245,0,0,0,0,0,0,11245
4006,13280,0,0,0,0,0,0,13280
4007,9697,0,0,0,0,0,0,9697
4008,339,0,0,0,0,0,0,339
4009,0,0,0,0,0,0,0,0
4010,1941,0,0,0,0,0,0,1941
4011,13652,0,0,0,0,0,0,13652
4012,17046,0,0,0,0,0,0,17046
4013,3837,0,0,0,0,0,0,3837
4014,9174,0,0,0,0,0,0,9174
4017,33565,0,0,0,0,0,0,33565
4018,7652,0,0,0,0,0,0,7652
4019,18075,0,0,0,0,0,0,18075
4020,18821,0,0,0,0,0,0,18821
4021,9360,0,0,0,0,0,0,9360
4022,4920,0,0,0,0,0,0,4920
4025,0,0,0,248,0,0,0,248
4030,14323,0,0,0,0,0,0,14323
4031,11724,0,0,0,0,0,0,11724
4032,12305,0,0,0,0,0,0,12305
4034,38624,0,0,0,0,0,0,38624
4035,23312,0,0,0,0,0,0,23312
4036,5852,0,0,0,0,0,0,5852
4037,7280,0,0,0,0,0,0,7280
4051,23322,0,0,0,0,0,0,23322
4053,39057,0,0,0,0,0,0,39057
4054,13767,0,0,0,0,0,0,13767
4055,18513,0,0,0,0,0,0,18513
4059,9649,0,0,0,0,0,0,9649
4060,11445,0,0,0,0,0,0,11445
4061,16121,0,0,0,0,0,0,16121
4064,9352,0,0,0,0,0,0,9352
4065,9112,0,0,0,0,0,0,9112
4066,14960,0,0,0,0,0,0,14960
4067,8833,0,0,0,0,0,0,8833
4068,20780,0,0,0,0,0,0,20780
4069,31304,642,0,0,0,0,0,31950
4070,8454,0,0,0,0,0,0,8454
4072,1782,0,0,0,0,0,0,1782
4073,8644,0,0,0,0,0,0,8644
4074,23390,0,0,0,0,0,0,23390
4075,19694,0,0,0,0,0,0,19694
4076,6395,0,0,0,0,0,0,6395
4077,22332,0,0,0,0,0,0,22332
4078,21358,0,0,0,0,0,0,21358
4101,15916,0,0,0,0,0,0,15916
4102,5284,0,0,0,0,0,0,5284
4103,12146,0,0,0,0,0,0,12146
4104,5356,0,0,0,0,0,0,5356
4105,11026,0,0,0,0,0,0,11026
4106,2080,0,0,0,0,0,0,2080
4107,5524,0,0,0,0,0,0,5524
4108,4670,0,0,0,0,0,0,4670
4109,34019,0,0,0,0,0,0,34019
4110,7780,0,0,0,0,0,0,7780
4111,1380,0,0,0,0,0,0,1380
4112,6405,0,0,0,0,0,0,6405
4113,24830,0,0,0,0,0,0,24830
4114,31144,0,0,0,0,0,0,31144
4115,16653,0,0,0,0,0,0,16653
4116,17328,0,0,0,0,0,0,17328
4117,173,0,0,0,0,0,0,173
4118,26932,0,0,0,0,0,0,26932
4119,4517,0,0,0,0,0,0,4517
4120,8088,0,0,0,0,0,0,8088
4121,22447,0,0,0,0,0,0,22447
4122,39868,0,0,0,0,0,0,39868
4123,16098,0,0,0,0,0,0,16098
4124,15845,0,0,0,0,0,0,15845
4125,6731,0,0,0,0,0,0,6731
4127,21247,0,0,0,0,0,0,21247
4128,15787,0,0,0,0,0,0,15787
4129,7394,0,0,0,0,0,0,7394
4130,5971,0,0,0,0,0,0,5971
4131,8332,0,0,0,0,0,0,8332
4132,19068,0,0,0,0,0,0,19068
4133,8793,1800,0,0,0,0,0,10595
4151,13796,0,0,0,0,0,0,13796
4152,39918,0,0,0,0,0,0,39918
4153,3695,0,0,0,0,0,0,3695
4154,5433,0,0,0,0,0,0,5433
4155,1045,0,0,0,0,0,0,1045
4156,2886,0,0,0,0,0,0,2886
4157,19183,0,0,0,0,0,0,19183
4158,3465,0,0,0,0,0,0,3465
4159,13458,0,0,0,0,0,0,13458
4160,16098,0,0,0,0,0,0,16098
4161,16989,0,0,0,0,0,0,16989
4163,13585,0,0,0,0,0,0,13585
4164,10518,0,0,0,0,0,0,10518
4165,27775,0,0,0,0,0,0,27775
4169,12094,0,0,0,0,0,0,12094
4170,19494,0,0,0,0,0,0,19494
4171,13051,0,0,0,0,0,0,13051
4172,3492,0,0,0,0,0,0,3492
4173,8173,0,0,0,0,0,0,8173
4174,2682,0,0,0,0,0,0,2682
4178,22494,0,0,0,0,0,0,22494
4179,16808,0,0,0,0,0,0,16808
4183,0,0,800,1213,0,0,0,2016
4184,0,4897,0,0,0,0,0,4897
4205,4779,0,0,0,0,0,0,4779
4207,37377,4493,0,0,0,0,0,41868
4208,10728,0,0,0,0,0,0,10728
4209,18548,0,0,0,0,0,0,18548
4210,11664,1169,0,0,0,0,0,12835
4211,45767,2647,0,0,0,0,0,48417
4212,20162,0,0,0,0,0,0,20162
4213,25165,1092,0,0,0,0,0,26265
4214,34905,0,0,0,0,0,0,34905
4215,39486,0,0,0,0,0,0,39486
4216,30822,48,0,0,0,0,0,30874
4217,33195,0,0,0,0,0,0,33195
4218,28570,0,0,0,0,0,0,28570
4219,1244,0,0,0,0,0,0,1244
4220,25258,0,0,0,0,0,0,25258
4221,25174,0,0,0,0,0,0,25174
4223,12668,438,0,0,0,0,0,13109
4224,4819,0,0,0,0,0,0,4819
4225,6307,0,0,0,0,0,0,6307
4226,27888,0,0,0,0,0,0,27888
4227,11515,0,0,0,0,0,0,11515
4228,9209,1023,0,0,0,0,0,10231
4229,284,0,0,0,0,0,0,284
4230,1076,0,0,0,0,0,0,1076
4270,0,3172,0,0,0,0,0,3172
4271,0,2702,0,0,0,0,0,2702
