,Postal Area (POA),Remoteness
0,4000,Major City
1,4005,Major City
2,4006,Major City
3,4007,Major City
4,4008,Major City
5,4009,
6,4010,Major City
7,4011,Major City
8,4012,Major City
9,4013,Major City
10,4014,Major City
11,4017,Major City
12,4018,Major City
13,4019,Major City
14,4020,Major City
15,4021,Major City
16,4022,Major City
17,4025,Remote
18,4030,Major City
19,4031,Major City
20,4032,Major City
21,4034,Major City
22,4035,Major City
23,4036,Major City
24,4037,Major City
25,4051,Major City
26,4053,Major City
27,4054,Major City
28,4055,Major City
29,4059,Major City
30,4060,Major City
31,4061,Major City
32,4064,Major City
33,4065,Major City
34,4066,Major City
35,4067,Major City
36,4068,Major City
37,4069,Major City
38,4070,Major City
39,4072,Major City
40,4073,Major City
41,4074,Major City
42,4075,Major City
43,4076,Major City
44,4077,Major City
45,4078,Major City
46,4101,Major City
47,4102,Major City
48,4103,Major City
49,4104,Major City
50,4105,Major City
51,4106,Major City
52,4107,Major City
53,4108,Major City
54,4109,Major City
55,4110,Major City
56,4111,Major City
57,4112,Major City
58,4113,Major City
59,4114,Major City
60,4115,Major City
61,4116,Major City
62,4117,Major City
63,4118,Major City
64,4119,Major City
65,4120,Major City
66,4121,Major City
67,4122,Major City
68,4123,Major City
69,4124,Major City
70,4125,Major City
71,4127,Major City
72,4128,Major City
73,4129,Major City
74,4130,Major City
75,4131,Major City
76,4132,Major City
77,4133,Major City
78,4151,Major City
79,4152,Major City
80,4153,Major City
81,4154,Major City
82,4155,Major City
83,4156,Major City
84,4157,Major City
85,4158,Major City
86,4159,Major City
87,4160,Major City
88,4161,Major City
89,4163,Major City
90,4164,Major City
91,4165,Major City
92,4169,Major City
93,4170,Major City
94,4171,Major City
95,4172,Major City
96,4173,Major City
97,4174,Major City
98,4178,Major City
99,4179,Major City
100,4183,Outer Regional
101,4184,Inner Regional
102,4205,Major City
103,4207,Major City
104,4208,Major City
105,4209,Major City
106,4210,Major City
107,4211,Major City
108,4212,Major City
109,4213,Major City
110,4214,Major City
111,4215,Major City
112,4216,Major City
113,4217,Major City
114,4218,Major City
115,4219,Major City
116,4220,Major City
117,4221,Major City
118,4223,Major City
119,4224,Major City
120,4225,Major City
121,4226,Major City
122,4227,Major City
123,4228,Major City
124,4229,Major City
125,4230,Major City
126,4270,Inner Regional
127,4271,Inner Regional
128,4272,Inner Regional
129,4275,Inner Regional
130,4280,Major City
131,4285,Inner Regional
132,4287,Inner Regional
133,4300,Major City
134,4301,Major City
135,4303,Major City
136,4304,Major City
137,4305,Major City
138,4306,Major City
139,4307,Inner Regional
140,4309,Inner Regional
141,4310,Inner Regional
142,4311,Inner Regional
143,4312,Inner Regional
144,4313,Inner Regional
145,4340,Inner Regional
146,4341,Inner Regional
147,4342,Inner Regional
148,4343,Inner Regional
149,4344,Inner Regional
150,4345,Inner Regional
151,4346,Inner Regional
152,4347,Inner Regional
153,4350,Inner Regional
154,4352,Inner Regional
155,4354,Inner Regional
156,4355,Inner Regional
157,4356,Inner Regional
158,4357,Inner Regional
159,4358,Inner Regional
160,4359,Inner Regional
161,4360,Inner Regional
162,4361,Inner Regional
163,4362,Inner Regional
164,4363,Inner Regional
165,4364,Inner Regional
166,4365,Inner Regional
167,4370,Inner Regional
168,4371,Inner Regional
169,4373,Outer Regional
170,4374,Inner Regional
171,4377,Outer Regional
172,4380,Outer Regional
173,4381,Outer Regional
174,4382,Outer Regional
175,4383,Outer Regional
176,4387,Outer Regional
177,4388,Outer Regional
178,4390,Outer Regional
179,4400,Inner Regional
180,4401,Inner Regional
181,4402,Outer Regional
182,4403,Inner Regional
183,4404,Inner Regional
184,4405,Inner Regional
185,4407,Outer Regional
186,4408,Outer Regional
187,4410,Outer Regional
188,4411,Outer Regional
189,4412,Outer Regional
190,4413,Outer Regional
191,4415,Outer Regional
192,4416,Outer Regional
193,4417,Remote
194,4418,Remote
195,4419,Remote
196,4420,Remote
197,4421,Outer Regional
198,4422,Remote
199,4423,Remote
200,4424,Outer Regional
201,4425,Remote
202,4426,Remote
203,4427,Remote
204,4428,Remote
205,4454,Remote
206,4455,Outer Regional
207,4462,Remote
208,4465,Remote
209,4467,Very Remote
210,4468,Very Remote
211,4470,Remote
212,4472,Very Remote
213,4474,Very Remote
214,4475,Very Remote
215,4477,Very Remote
216,4478,Very Remote
217,4480,Very Remote
218,4481,Very Remote
219,4482,Very Remote
220,4486,Remote
221,4487,Remote
222,4488,Very Remote
223,4489,Very Remote
224,4490,Very Remote
225,4491,Very Remote
226,4492,Very Remote
227,4493,Very Remote
228,4494,Outer Regional
229,4496,Remote
230,4497,Remote
231,4498,Remote
232,4500,Major City
233,4501,Major City
234,4502,Major City
235,4503,Major City
236,4504,Major City
237,4505,Major City
238,4506,Major City
239,4507,Inner Regional
240,4508,Major City
241,4509,Major City
242,4510,Major City
243,4511,Inner Regional
244,4512,Major City
245,4514,Inner Regional
246,4515,Inner Regional
247,4516,Major City
248,4517,Inner Regional
249,4518,Inner Regional
250,4519,Inner Regional
251,4520,Major City
252,4521,Inner Regional
253,4550,Inner Regional
254,4551,Major City
255,4552,Inner Regional
256,4553,Major City
257,4554,Major City
258,4555,Inner Regional
259,4556,Major City
260,4557,Major City
261,4558,Major City
262,4559,Major City
263,4560,Major City
264,4561,Major City
265,4562,Inner Regional
266,4563,Inner Regional
267,4564,Major City
268,4565,Major City
269,4566,Major City
270,4567,Major City
271,4568,Inner Regional
272,4569,Inner Regional
273,4570,Inner Regional
274,4571,Inner Regional
275,4572,Major City
276,4573,Major City
277,4574,Inner Regional
278,4575,Major City
279,4580,Inner Regional
280,4581,Inner Regional
281,4600,Outer Regional
282,4601,Outer Regional
283,4605,Inner Regional
284,4606,Outer Regional
285,4608,Outer Regional
286,4610,Inner Regional
287,4612,Outer Regional
288,4613,Outer Regional
289,4614,Inner Regional
290,4615,Inner Regional
291,4620,Outer Regional
292,4621,Outer Regional
293,4625,Outer Regional
294,4626,Outer Regional
295,4627,Outer Regional
296,4630,Outer Regional
297,4650,Inner Regional
298,4655,Inner Regional
299,4659,Inner Regional
300,4660,Inner Regional
301,4662,Inner Regional
302,4670,Inner Regional
303,4671,Outer Regional
304,4673,Outer Regional
305,4674,Outer Regional
306,4676,Outer Regional
307,4677,Outer Regional
308,4678,Outer Regional
309,4680,Inner Regional
310,4694,Outer Regional
311,4695,Outer Regional
312,4699,Outer Regional
313,4700,Inner Regional
314,4701,Inner Regional
315,4702,Inner Regional
316,4703,Inner Regional
317,4705,Outer Regional
318,4706,Remote
319,4707,Remote
320,4709,Remote
321,4710,Inner Regional
322,4711,Inner Regional
323,4712,Outer Regional
324,4713,Remote
325,4714,Inner Regional
326,4715,Outer Regional
327,4716,Outer Regional
328,4717,Outer Regional
329,4718,Outer Regional
330,4719,Outer Regional
331,4720,Outer Regional
332,4721,Remote
333,4722,Remote
334,4723,Remote
335,4724,Very Remote
336,4725,Very Remote
337,4726,Very Remote
338,4727,Very Remote
339,4728,Very Remote
340,4730,Very Remote
341,4731,Very Remote
342,4732,Very Remote
343,4733,Very Remote
344,4735,Very Remote
345,4736,Very Remote
346,4737,Outer Regional
347,4738,Outer Regional
348,4739,Outer Regional
349,4740,Inner Regional
350,4741,Outer Regional
351,4742,Outer Regional
352,4743,Outer Regional
353,4744,Outer Regional
354,4745,Outer Regional
355,4746,Remote
356,4750,Inner Regional
357,4751,Inner Regional
358,4753,Outer Regional
359,4754,Outer Regional
360,4756,Outer Regional
361,4757,Outer Regional
362,4798,Outer Regional
363,4799,Outer Regional
364,4800,Outer Regional
365,4801,Remote
366,4802,Outer Regional
367,4803,Remote
368,4804,Remote
369,4805,Outer Regional
370,4806,Outer Regional
371,4807,Outer Regional
372,4808,Outer Regional
373,4809,Outer Regional
374,4810,Outer Regional
375,4811,Outer Regional
376,4812,Outer Regional
377,4813,Outer Regional
378,4814,Outer Regional
379,4815,Outer Regional
380,4816,Outer Regional
381,4817,Outer Regional
382,4818,Outer Regional
383,4819,Outer Regional
384,4820,Outer Regional
385,4821,Very Remote
386,4822,Very Remote
387,4823,Very Remote
388,4824,Remote
389,4828,Very Remote
390,4829,Very Remote
391,4830,Very Remote
392,4849,Remote
393,4850,Outer Regional
394,4852,Outer Regional
395,4854,Outer Regional
396,4855,Outer Regional
397,4856,Outer Regional
398,4857,Outer Regional
399,4858,Outer Regional
400,4859,Outer Regional
401,4860,Outer Regional
402,4861,Outer Regional
403,4865,Outer Regional
404,4868,Outer Regional
405,4869,Outer Regional
406,4870,Outer Regional
407,4871,Outer Regional
408,4872,Outer Regional
409,4873,Outer Regional
410,4874,Very Remote
411,4875,Very Remote
412,4876,Very Remote
413,4877,Outer Regional
414,4878,Outer Regional
415,4879,Outer Regional
416,4880,Outer Regional
417,4881,Outer Regional
418,4882,Outer Regional
419,4883,Outer Regional
420,4884,Outer Regional
421,4885,Outer Regional
422,4886,Outer Regional
423,4887,Outer Regional
424,4888,Outer Regional
425,4890,Very Remote
426,4891,Very Remote
427,4895,Remote
428,4998,No Usual Address
429,4999,Migratory
430,Total,Major City
