,Postal Area (POA),Total,ATSI,Proportion ATSI,Remoteness
0,4000,5652,29,0.00513092710545,Major City
1,4005,5623,41,0.00729148141561,Major City
2,4006,6258,57,0.00910834132311,Major City
3,4007,5096,25,0.00490580847724,Major City
4,4008,148,3,0.0202702702703,Major City
5,4009,0,0,0.0,
6,4010,987,10,0.0101317122594,Major City
7,4011,7191,75,0.0104297037964,Major City
8,4012,8904,109,0.0122416891285,Major City
9,4013,1949,37,0.0189840944074,Major City
10,4014,4690,145,0.0309168443497,Major City
11,4017,17199,349,0.0202918774347,Major City
12,4018,4191,58,0.0138391791935,Major City
13,4019,9189,205,0.0223092828382,Major City
14,4020,9894,162,0.0163735597332,Major City
15,4021,4888,89,0.0182078559738,Major City
16,4022,2665,44,0.0165103189493,Major City
17,4025,87,0,0.0,Remote
18,4030,7293,122,0.0167283696695,Major City
19,4031,6001,122,0.0203299450092,Major City
20,4032,6587,118,0.0179140731744,Major City
21,4034,20017,356,0.0177848828496,Major City
22,4035,11915,62,0.00520352496853,Major City
23,4036,2948,54,0.0183175033921,Major City
24,4037,3679,25,0.00679532481653,Major City
25,4051,11892,111,0.00933400605449,Major City
26,4053,20335,331,0.0162773543152,Major City
27,4054,7265,157,0.0216104611149,Major City
28,4055,9334,92,0.0098564388258,Major City
29,4059,4979,43,0.00863627234384,Major City
30,4060,5845,43,0.00735671514115,Major City
31,4061,8228,38,0.00461837627613,Major City
32,4064,4827,39,0.00807955251709,Major City
33,4065,4766,16,0.00335711288292,Major City
34,4066,7605,35,0.00460223537147,Major City
35,4067,4509,12,0.00266134397871,Major City
36,4068,10735,42,0.00391243595715,Major City
37,4069,16435,31,0.00188621843626,Major City
38,4070,4283,20,0.00466962409526,Major City
39,4072,894,0,0.0,Major City
40,4073,4590,29,0.00631808278867,Major City
41,4074,11950,63,0.0052719665272,Major City
42,4075,10253,66,0.00643714034917,Major City
43,4076,2503,115,0.0459448661606,Major City
44,4077,11522,622,0.0539836833883,Major City
45,4078,11120,155,0.0139388489209,Major City
46,4101,7939,144,0.0181383045724,Major City
47,4102,2526,47,0.0186064924782,Major City
48,4103,6132,76,0.0123939986954,Major City
49,4104,2723,33,0.012118986412,Major City
50,4105,5636,57,0.0101135557133,Major City
